,region,mag_total,mag_x,mag_y,mag_z,mag_variability
2574,solar_wind,25.12160317336455,-14.428,17.891,10.141,0.17834842712069943
2575,solar_wind,23.947218397968477,-14.95,16.487,8.84,0.9694647363383524
2576,solar_wind,24.33648982495216,-14.646,17.211,9.03,0.5499424449154908
2577,solar_wind,24.700926176967535,-14.984,17.737,8.427,0.1613739043741944
2578,solar_wind,23.78839420810072,-15.539,16.487,7.253,1.0681814117582817
2579,solar_wind,24.835985766625008,-15.888,17.674,7.213,0.00030627722367881915
2580,solar_wind,24.5230483627138,-16.395,17.01,6.576,0.29801717083713797
2581,solar_wind,24.17644235614496,-16.077,16.506,7.32,0.6137634051121807
2582,solar_wind,24.451726748841278,-15.379,17.194,8.108,0.34603556537586044
2583,solar_wind,24.611579937094653,-16.159,17.055,7.331,0.158449887208306
2584,solar_wind,24.443640093079427,-15.754,16.975,7.82,0.29938980091850453
2585,solar_wind,24.887556850763794,-15.963,17.371,7.926,0.17876559262532865
2586,solar_wind,24.606221692897105,-16.544,16.727,7.209,0.0764215628390339
2587,solar_wind,24.40826696019199,-15.926,16.654,8.048,0.24403796541759348
2588,solar_wind,24.463198094280315,-15.92,16.73,8.069,0.20475096649521873
2589,solar_wind,25.492683087505714,-16.611,17.523,8.179,0.818561210858892
2590,solar_wind,24.629108469451342,-16.764,16.482,7.342,0.04636832342380259
2591,solar_wind,24.790643618107215,-16.899,16.931,6.507,0.11348659271316563
2592,solar_wind,24.040002371048136,-15.933,16.092,8.069,0.6299563954943395
2593,solar_wind,23.973650076698792,-16.344,15.911,7.379,0.6866763731659518
2594,solar_wind,24.858218198414782,-16.676,16.694,7.82,0.22396439602579576
2595,solar_wind,24.56414356333231,-17.032,15.95,7.675,0.07760217583968299
2596,solar_wind,24.169673766933638,-16.603,15.911,7.44,0.49637250755984397
2597,solar_wind,24.11834592172523,-16.92,15.271,7.887,0.5713258567132087
2598,solar_wind,25.066461676910045,-16.563,16.726,8.616,0.36275548966753135
2599,solar_wind,24.132283273656473,-16.572,15.686,7.854,0.603793073096849
2600,solar_wind,24.657617950645598,-16.321,16.619,8.089,0.06662984005784267
2601,solar_wind,24.37315921254362,-16.548,15.969,8.075,0.3741581301881993
2602,solar_wind,26.21987812710044,-16.818,18.046,8.887,1.4432464018992341
2603,solar_wind,24.941428086619258,-17.083,16.395,7.839,0.15450089731640304
2604,solar_wind,24.957919584773087,-16.975,16.602,7.689,0.15062837611857205
2605,solar_wind,25.201518803437224,-17.39,16.665,7.415,0.3641435670095703
2606,solar_wind,24.348066165508918,-16.969,15.769,7.498,0.5059253186493251
2607,solar_wind,23.97655260874674,-16.699,15.443,7.585,0.8776363752480876
2608,solar_wind,24.547135759595253,-17.069,16.027,7.372,0.32025741060408563
2609,solar_wind,24.53784919262485,-16.665,16.027,8.217,0.3596623391361611
2610,solar_wind,25.063514937055416,-17.118,16.544,7.839,0.1829307867532357
2611,solar_wind,25.2253470342828,-17.271,17.274,6.296,0.3314764198400191
2612,solar_wind,25.1598073720766,-17.295,17.059,6.549,0.25590792860044687
2613,solar_wind,24.98932464073409,-17.676,16.111,7.243,0.05951572843733288
2614,solar_wind,24.66777375443516,-16.571,16.09,8.661,0.29470341287694524
2615,solar_wind,25.42877258146763,-17.045,16.915,8.365,0.4491548292418095
2616,solar_wind,24.943540346149742,-17.622,16.189,7.04,0.07871576732788199
2617,solar_wind,25.305135486695185,-17.091,16.775,8.176,0.23487177090433775
2618,solar_wind,25.27633693793466,-17.318,16.678,7.799,0.17239119798579594
2619,solar_wind,25.115570748043933,-17.597,16.474,7.053,0.01683913752410149
2620,solar_wind,24.351014968579854,-17.02,15.529,7.883,0.7576262548691695
2621,solar_wind,25.468899995877326,-16.857,17.097,8.497,0.33845293548711197
2622,solar_wind,25.37833203738969,-16.806,17.226,8.055,0.2116675563594086
2623,solar_wind,24.873840777009086,-17.471,16.217,7.105,0.28464504285112113
2624,solar_wind,25.446504730512597,-17.103,16.813,8.505,0.2556431593227657
2625,solar_wind,25.677085231778157,-16.999,17.264,8.503,0.4722733410275346
2626,solar_wind,25.568823007717814,-16.897,17.249,8.41,0.3607554279657492
2627,solar_wind,24.61431918619729,-17.122,16.304,6.847,0.6068823343243075
2628,solar_wind,24.949638594576875,-17.179,16.451,7.532,0.299119357540814
2629,solar_wind,25.698050918308958,-17.676,17.118,7.411,0.4213708052045213
2630,solar_wind,24.79866044769354,-16.996,16.07,8.238,0.5035178545354242
2631,solar_wind,25.173853499216204,-17.31,16.736,7.348,0.1340891056074227
2632,solar_wind,25.20182560847527,-16.767,16.314,9.373,0.1361675366416435
2633,solar_wind,25.10229059269293,-16.452,16.608,9.145,0.28257903209134483
2634,solar_wind,25.313048532328143,-17.752,16.389,7.551,0.08060881871362824
2635,solar_wind,25.560982179877204,-17.465,16.849,8.028,0.18144714658160765
2636,solar_wind,26.312316374656184,-17.534,18.166,7.409,0.9221067791087378
2637,solar_wind,26.137985461775738,-17.114,18.278,7.498,0.7547553742366127
2638,solar_wind,25.499308912203876,-17.157,17.225,7.691,0.0922122167570727
2639,solar_wind,24.852682370319705,-16.15,16.339,9.48,0.6608168641218803
2640,solar_wind,24.538577403753465,-16.582,15.889,8.644,1.0968109520414657
2641,solar_wind,25.551657265234287,-17.164,16.993,8.338,0.21761670349200202
2642,solar_wind,25.85807345878652,-17.211,16.969,9.191,0.035154677122612554
2643,solar_wind,25.884553019127065,-17.534,17.36,7.823,0.12947611725486752
2644,solar_wind,26.268833891134186,-17.337,17.616,8.897,0.13460603166482699
2645,solar_wind,25.52988268676533,-17.466,16.873,7.875,0.6911927261117903
2646,solar_wind,25.33500205249646,-17.049,17.002,7.882,0.9664552942308049
2647,solar_wind,24.88655773705958,-15.872,17.006,8.844,1.4818949188312267
2648,solar_wind,25.106366304186672,-16.468,16.986,8.403,1.384550350155358
2649,solar_wind,25.69194436005185,-16.175,18.242,8.104,0.9253723170092663
2650,solar_wind,25.583274946730334,-16.428,17.807,8.218,1.1514521221422278
2651,solar_wind,25.299851343436785,-15.455,17.357,9.998,1.5606429944550158
2652,solar_wind,26.457419186307646,-17.635,17.478,9.139,0.47185444019809
2653,solar_wind,27.081743038438276,-18.91,17.759,7.775,0.09109220944374385
2654,solar_wind,25.349621417291424,-17.368,16.189,8.881,1.678355748633816
2655,solar_wind,24.088758726841863,-17.153,15.238,7.338,2.987231601390185
2656,solar_wind,25.86642963379368,-17.821,17.046,7.805,1.2340437501452364
2657,solar_wind,24.657380517808456,-18.465,13.842,8.685,2.449305089688906
2658,solar_wind,26.28366641091003,-18.632,17.464,6.22,0.8279174041091579
2659,solar_wind,29.638841036720716,-18.992,20.835,9.147,2.479602603189651
2660,solar_wind,30.11302472353118,-20.303,19.793,10.14,2.9408542878932593
2661,solar_wind,29.84032509876526,-19.804,19.769,10.365,2.637798049079983
2662,solar_wind,30.551020850374215,-20.879,20.495,8.797,3.3246422119105468
2663,solar_wind,30.33117305677445,-18.225,22.175,9.803,3.097495023588536
2664,solar_wind,29.80198842359348,-18.548,21.107,9.931,2.5585661618468762
2665,solar_wind,29.007254420230815,-17.546,21.202,9.167,1.743892748093458
2666,solar_wind,28.97274451963431,-19.239,19.84,8.698,1.6642605372552808
2667,solar_wind,28.315630683422892,-18.499,19.858,8.076,0.9495911652364057
2668,solar_wind,29.635343122697265,-18.208,21.843,8.343,2.1620732754297336
2669,solar_wind,30.1320395260593,-17.926,22.117,9.871,2.550513410730421
2670,solar_wind,30.51187698257844,-17.317,22.652,10.862,2.8282065044223934
2671,solar_wind,29.955118477482277,-17.585,22.207,9.743,2.153997385287166
2672,solar_wind,27.99380433238755,-17.801,20.382,7.166,0.040093008675199826
2673,solar_wind,27.71829091051611,-17.887,19.471,8.321,0.8551861757551293
2674,solar_wind,26.63267040685181,-16.8,18.987,8.158,2.937070034032647
2675,solar_wind,27.2815881869073,-17.054,19.703,8.077,3.3699196900405965
2676,solar_wind,26.564787463858995,-16.448,18.97,8.677,5.246551489074992
2677,solar_wind,26.567017540552047,-16.106,19.036,9.167,6.224860665106508
2678,solar_wind,26.33881197017056,-16.89,18.22,8.746,7.389366401462574
2679,solar_wind,27.453148271191044,-18.615,18.961,6.902,7.21562914257721
2680,solar_wind,25.38289445670056,-18.019,16.027,7.921,10.161690219577213
2681,solar_wind,25.783198579695267,-17.075,17.25,8.698,10.638087522228957
2682,solar_wind,26.529572405148187,-16.984,18.416,8.73,10.77149544860778
2683,solar_wind,26.157348642398752,-17.47,17.642,8.232,12.081707975473805
2684,solar_wind,26.284066390115516,-16.771,18.221,8.808,12.939436630834987
2685,solar_wind,27.08634971715458,-17.204,19.014,8.727,13.159632389354957
2686,solar_wind,27.379897406674115,-17.501,19.145,8.766,13.862817609804512
2687,solar_wind,27.69477902060242,-17.463,19.28,9.504,14.487385266899675
2688,solar_wind,29.283001229382208,-17.494,21.517,9.406,13.77545475520548
2689,solar_wind,29.54487329470208,-18.789,21.269,8.216,14.365256667715144
2690,solar_wind,29.879863235965455,-17.773,22.003,9.633,14.944661966072498
2691,magnetosheath,44.119415283976736,-31.7,27.778,-13.039,2.2685738318267283
2692,magnetosheath,46.477402799640174,-34.573,27.631,-14.191,0.06464289212171082
2693,magnetosheath,46.55702174753019,-34.543,25.345,-18.22,0.15582491603746718
2694,magnetosheath,47.89818979878049,-34.709,26.737,-19.356,1.081455993319075
2695,magnetosheath,48.996186218929324,-32.842,24.33,-27.02,1.9741014482692663
2696,magnetosheath,50.04532718446348,-33.424,24.201,-28.314,2.871940904151124
2697,magnetosheath,49.09530768820988,-35.498,22.953,-24.968,1.7973333202930917
2698,magnetosheath,48.036990424047175,-32.657,24.332,-25.476,0.6900955638259916
2699,magnetosheath,48.90182411730671,-35.703,18.857,-27.588,1.4831029683991446
2700,magnetosheath,48.99053002366887,-36.38,26.376,-19.516,1.5482661059500487
2701,magnetosheath,47.04289307642548,-31.596,27.997,-20.758,0.39779144182013226
2702,magnetosheath,47.70428781566705,-35.108,20.246,-25.164,0.2047002225104393
2703,magnetosheath,50.23356429719078,-40.087,24.007,-18.442,2.5840854749500863
2704,magnetosheath,49.5109866292321,-35.932,26.087,-21.902,1.7037137526909163
2705,magnetosheath,46.31384169986333,-31.212,23.442,-24.925,1.7709877906360063
2706,magnetosheath,46.819749390615065,-35.156,23.689,-19.874,1.4871633250761178
2707,magnetosheath,45.85291601414244,-32.401,23.855,-21.991,2.68267472682291
2708,magnetosheath,44.52343546942441,-33.201,21.431,-20.512,4.12252935745952
2709,magnetosheath,45.22227119462268,-32.26,24.266,-20.384,3.653643256093133
2710,magnetosheath,46.29937863513937,-35.483,23.222,-18.583,2.872516214822994
2711,magnetosheath,47.0172006929379,-33.729,20.418,-25.614,2.36823877396413
2712,magnetosheath,50.72770233314338,-38.832,24.734,-21.298,1.2237870482572148
2713,magnetosheath,50.01620717327534,-37.034,24.832,-22.66,0.4351558574907699
2714,magnetosheath,47.891112056413974,-34.81,25.733,-20.485,1.757183757564455
2715,magnetosheath,51.0560137593996,-38.636,23.667,-23.534,1.4041142001149964
2716,magnetosheath,47.24323299690655,-36.818,22.182,-19.604,2.3374250962752754
2717,magnetosheath,46.84892581479324,-34.899,24.5,-19.407,2.645065137930956
2718,magnetosheath,48.6197505032677,-38.685,22.725,-18.733,0.7835596962616478
2719,magnetosheath,47.851144792993196,-36.656,24.189,-18.999,1.545280032383836
2720,magnetosheath,46.69428205894165,-35.795,25.844,-15.204,2.6508402047095103
2721,magnetosheath,48.473191693966264,-35.942,24.83,-21.007,0.8350952567091596
2722,magnetosheath,50.48914602169461,-42.636,21.611,-16.257,1.1059387726299974
2723,magnetosheath,55.462940293496885,-43.737,29.044,-17.879,6.030945436798966
2724,magnetosheath,53.997398687344194,-44.729,25.21,-16.718,4.620923470717095
2725,magnetosheath,55.361826685903345,-42.561,28.707,-20.722,6.029365646158595
2726,magnetosheath,55.02967978282265,-39.766,29.026,-24.585,5.648604272719311
2727,magnetosheath,56.31742838589134,-46.376,26.792,-17.41,7.02560586510171
2728,magnetosheath,53.18133855028472,-38.545,30.719,-19.972,3.8727344889677653
2729,magnetosheath,55.557796239591795,-37.185,29.887,-28.473,6.082195130369762
2730,magnetosheath,56.99335461262129,-41.935,30.478,-23.681,7.424395649341847
2731,magnetosheath,51.33182549841765,-31.984,35.142,-19.417,1.773592491006987
2732,magnetosheath,48.9769238213263,-34.551,22.971,-26.025,0.538051827494904
2733,magnetosheath,49.63998006647464,-34.761,29.74,-19.27,0.15716773196928102
2734,magnetosheath,49.31404617347881,-34.745,30.341,-17.438,0.23937553808745804
2735,magnetosheath,48.04594335633343,-32.167,25.54,-24.928,1.559079468816229
2736,magnetosheath,46.075286108715595,-30.825,24.398,-24.031,3.42812260312693
2737,magnetosheath,46.49197442570061,-30.751,24.273,-25.034,2.995485678912466
2738,magnetosheath,45.3773968072211,-31.299,23.478,-22.984,4.163478107588396
2739,magnetosheath,47.75469008380224,-32.48,26.184,-23.237,1.729312243898562
2740,magnetosheath,46.798419086546076,-31.797,26.392,-21.966,2.6761620971503532
2741,magnetosheath,47.48028219166352,-32.548,29.238,-18.443,1.9745577987632785
2742,magnetosheath,50.1146253103822,-36.435,29.747,-17.294,0.711612226304176
2743,magnetosheath,49.70457972863265,-34.121,31.981,-16.838,0.4489569384440628
2744,magnetosheath,47.95725905428708,-35.536,29.75,-12.33,1.03967960864437
2745,magnetosheath,47.70640537705603,-37.377,26.984,-12.277,1.1275837806287328
2746,magnetosheath,48.307034984565135,-38.902,27.184,-9.013,0.34693301981902636
2747,magnetosheath,43.16037682875348,-31.344,24.636,-16.536,5.335947907491018
2748,magnetosheath,46.540959175762595,-35.551,27.424,-12.252,1.7884652996907704
2749,magnetosheath,51.37031443353252,-38.369,29.262,-17.62,3.1624566493636976
2750,magnetosheath,49.0499432109763,-35.233,29.972,-16.316,0.9939620320321012
2751,magnetosheath,45.8596144445197,-33.877,26.598,-15.748,1.96928571690475
2752,magnetosheath,45.24364899076996,-32.617,26.483,-16.786,2.4152367020775074
2753,magnetosheath,49.409006446193594,-33.934,32.579,-15.111,1.8394461646543832
2754,magnetosheath,52.91119163277274,-40.106,30.442,-16.26,5.436922868262904
2755,magnetosheath,50.00675771333311,-32.987,32.688,-18.548,2.508185376876199
2756,magnetosheath,46.88983511380692,-32.027,31.128,-14.282,0.7102317732694132
2757,magnetosheath,46.589340100499385,-34.269,28.315,-13.945,1.106464112884673
2758,magnetosheath,49.038933032846465,-33.991,30.334,-18.146,1.3291696252963945
2759,magnetosheath,46.28797443181112,-31.356,28.079,-19.26,1.459141959466919
2760,magnetosheath,47.464877888813746,-30.879,29.106,-21.266,0.2632204813644421
2761,magnetosheath,45.884893134887,-31.019,28.076,-18.841,1.7392120965611682
2762,magnetosheath,46.348288533666484,-35.82,25.069,-15.383,1.2056775294455804
2763,magnetosheath,44.44614397222778,-31.143,26.817,-16.924,3.0429625424659648
2764,magnetosheath,44.85689107595398,-32.9,27.286,-13.609,2.549235586329928
2765,magnetosheath,47.316468972229956,-32.538,29.546,-17.526,0.11604890888581565
2766,magnetosheath,47.9809594005789,-35.232,26.204,-19.345,0.4147123991677688
2767,magnetosheath,48.56630578909621,-34.351,28.124,-19.691,0.9129719253611626
2768,magnetosheath,49.474517693455084,-37.544,27.237,-17.214,1.6687990442832756
2769,magnetosheath,48.19710420761812,-36.498,26.215,-17.425,0.21376348660774624
2770,magnetosheath,49.3308554253826,-36.493,25.642,-21.078,1.335269095984458
2771,magnetosheath,47.68303289431157,-35.189,26.209,-18.668,0.3365197337826302
2772,magnetosheath,44.36123228676137,-32.136,21.653,-21.595,3.772136743789922
2773,magnetosheath,45.31458195768775,-33.551,26.701,-14.656,2.920509697750063
2774,magnetosheath,45.73302786827043,-32.033,28.157,-16.51,2.4793505382978367
2775,magnetosheath,50.31049262330871,-36.128,26.85,-22.472,2.2377056102576134
2776,magnetosheath,52.207219931729746,-35.428,30.902,-22.705,4.215865933031118
2777,magnetosheath,50.000516487332405,-35.582,31.27,-16.005,2.0284058337554853
2778,magnetosheath,47.064301386507374,-32.19,28.387,-19.314,0.9701617032149059
2779,magnetosheath,46.90886914006774,-32.876,28.942,-16.792,1.1218821672274544
2780,magnetosheath,46.97495121870804,-31.311,28.661,-20.12,1.0538271929830358
2781,magnetosheath,42.53470039861572,-28.971,26.536,-16.301,5.459970964151061
2782,magnetosheath,44.60457628988308,-32.149,25.779,-17.072,3.4935732146008505
2783,magnetosheath,47.455383825231046,-33.621,28.167,-18.118,0.7181811672763914
2784,magnetosheath,46.30240577982963,-32.715,25.916,-20.05,1.9741403903186168
2785,magnetosheath,49.03929902639311,-37.495,27.06,-16.332,0.6626716623398963
2786,magnetosheath,53.18929930916556,-40.856,26.765,-21.06,4.7695274389815765
2787,magnetosheath,51.87759633984597,-37.204,31.131,-18.385,3.433730885272702
2788,magnetosheath,49.408153031660675,-37.436,28.829,-14.443,0.9878446526507432
2789,magnetosheath,53.823464121143296,-40.332,30.479,-18.475,5.4640550407493365
2790,magnetosheath,51.8723843774315,-39.314,30.687,-14.264,3.575759214736756
2791,magnetosheath,50.032561457514845,-33.118,27.379,-25.629,1.8166257951537617
2792,magnetosheath,50.52608694526027,-37.639,23.329,-24.33,2.2885737675687423
2793,magnetosheath,49.41427661111716,-32.667,27.55,-24.812,1.0910383471059717
2794,magnetosheath,48.47776324254245,-33.052,26.435,-23.64,0.06898027424554698
2795,magnetosheath,47.1879444985687,-33.803,23.319,-23.244,1.260878055122248
2796,magnetosheath,46.66800412488196,-34.338,21.578,-23.091,1.6804606495788619
2797,magnetosheath,46.100857963816686,-31.859,25.482,-21.47,2.110025798212625
2798,magnetosheath,49.145789982459334,-36.773,26.138,-19.49,0.9962442843711656
2799,magnetosheath,48.88674995333602,-36.359,26.092,-19.676,0.8080378262071051
2800,magnetosheath,46.207085712042044,-33.272,25.505,-19.431,1.8706335904699287
2801,magnetosheath,46.066488882917916,-36.45,21.123,-18.637,1.951236138401896
2802,magnetosheath,50.127496945289415,-37.385,25.934,-21.037,1.980155901142851
2803,magnetosheath,49.440323542630665,-35.602,28.468,-19.142,1.2166624436817841
2804,magnetosheath,48.6683722555008,-33.8,28.437,-20.433,0.38820125544745565
2805,magnetosheath,48.96022002605789,-36.703,28.494,-15.43,0.5540693700535186
